KIC|P13|G|2MASS|GLAT|GLON|Teffc|e_Teffc|Teff|e_Teff|Dnu|e_Dnu|numax|e_numax|Notes|Teff1|e_Teff1|[M/H]1|e_[M/H]1|M1|E_M1|e_M1|R1|E_R1|e_R1|log.g1|E_log.g1|e_log.g1|rho1|E_rho1|e_rho1|Teff2|e_Teff2|[M/H]2|e_[M/H]2|M2|E_M2|e_M2|R2|E_R2|e_R2|log.g2|E_log.g2|e_log.g2|rho2|E_rho2|e_rho2|_RA|_DE
#  | | | |deg|deg|K|K|K|K|uHz|uHz|uHz|uHz| |K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|deg|deg
# --------|---|---|-----------------|------|------|-----|-----|-----|-----|-----|-----|------|-----|---------------------------------------------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----------|----------
10971893|  1|  0|J19193254+4826125|79.802|15.602| 4855|   94| 4642|   86| 4.18| 0.10| 35.72| 0.79|PUBLIC                                       |4503| 75| 0.23| 0.05|    1.12|    0.15|    0.15|   10.54|    0.57|    0.59|    2.441|    0.010|    0.011|    0.00096|    0.00004|    0.00004|4579| 75| 0.32| 0.05|    1.14|    0.16|    0.18|   10.62|    0.61|    0.70|    2.443|    0.011|    0.011|    0.00096|    0.00005|    0.00004|289.885590|+48.436829
10972288|  1|  0|J19201937+4829246|79.907|15.505| 4838|   98| 4615|   90| 6.33| 0.13| 66.01| 1.54|PUBLIC                                       |4426| 70| 0.34| 0.04|    1.26|    0.13|    0.12|    8.27|    0.32|    0.31|    2.703|    0.011|    0.012|    0.00223|    0.00007|    0.00007|4523| 70| 0.47| 0.04|    1.32|    0.14|    0.12|    8.45|    0.35|    0.34|    2.707|    0.011|    0.011|    0.00220|    0.00007|    0.00007|290.080750|+48.490189
11612320|  1|  0|J19304827+4939476|81.745|14.425| 4485|   65| 4276|   59| 1.47| 0.04|  9.38| 0.32|KASC,PUBLIC                                  |4164| 93|-0.24| 0.06|    1.14|    0.18|    0.15|   21.18|    1.29|    1.13|    1.843|    0.017|    0.016|    0.00012|    0.00001|    0.00001|4321| 93|-0.20| 0.06|    1.22|    0.17|    0.16|   21.74|    1.15|    1.17|    1.850|    0.016|    0.016|    0.00012|    0.00001|    0.00001|292.701110|+49.663219
11612171|  1|  0|J19302760+4941468|81.752|14.489| 5026|   79| 4785|   72| 3.97| 0.11| 36.47| 1.17|KASC,PUBLIC                                  |4587| 78| 0.15| 0.05|    1.47|    0.24|    0.21|   11.94|    0.73|    0.68|    2.452|    0.015|    0.015|    0.00087|    0.00004|    0.00004|4642| 78| 0.22| 0.05|    1.51|    0.24|    0.23|   12.05|    0.73|    0.73|    2.455|    0.015|    0.015|    0.00086|    0.00004|    0.00004|292.614990|+49.696339
11612603|  1|  0|J19312566+4938210|81.767|14.323| 5050|   90| 4862|   84| 8.05| 0.19| 84.80| 1.84|PUBLIC                                       |4546| 84|-0.01| 0.06|    1.07|    0.12|    0.11|    6.68|    0.31|    0.28|    2.820|    0.011|    0.011|    0.00361|    0.00013|    0.00013|4611| 84| 0.02| 0.06|    1.10|    0.12|    0.11|    6.74|    0.31|    0.28|    2.822|    0.010|    0.010|    0.00359|    0.00012|    0.00013|292.856930|+49.639179
11663387|  1|  0|J19305319+4942362|81.795|14.433| 5038|   80| 4772|   72| 4.07| 0.09| 34.12| 1.24|PUBLIC                                       |4505| 83| 0.02| 0.05|    1.07|    0.15|    0.12|   10.54|    0.55|    0.46|    2.420|    0.017|    0.015|    0.00091|    0.00003|    0.00003|4581| 83| 0.06| 0.05|    1.11|    0.15|    0.13|   10.68|    0.54|    0.49|    2.425|    0.016|    0.015|    0.00091|    0.00003|    0.00003|292.721650|+49.710079
11509207|  1|  0|J19312057+4925409|81.564|14.246| 4783|   88| 4597|   81| 5.59| 0.11| 52.53| 1.99|PUBLIC                                       |4531| 98|-0.35| 0.07|    1.05|    0.17|    0.14|    8.48|    0.48|    0.42|    2.604|    0.020|    0.017|    0.00173|    0.00005|    0.00005|4600| 98|-0.39| 0.07|    1.09|    0.17|    0.15|    8.58|    0.47|    0.46|    2.608|    0.019|    0.018|    0.00173|    0.00005|    0.00005|292.835750|+49.428051
11509608|  1|  0|J19320870+4926497|81.639|14.136| 5037|   91| 4771|   82| 4.08| 0.09| 33.94| 0.79|PUBLIC                                       |4548|117|-0.83| 0.08|    1.11|    0.13|    0.11|   10.65|    0.50|    0.46|    2.430|    0.012|    0.011|    0.00092|    0.00003|    0.00003|4613|117|-0.93| 0.08|    1.14|    0.13|    0.12|   10.73|    0.48|    0.48|    2.433|    0.011|    0.012|    0.00092|    0.00003|    0.00003|293.036250|+49.447159
11509277|  1|  0|J19312830+4927317|81.602|14.240| 4945|   93| 4730|   85| 4.58| 0.09| 45.13| 1.81|KASC                                         |4686| 78| 0.16| 0.05|    1.64|    0.23|    0.14|   11.25|    0.56|    0.31|    2.551|    0.016|    0.016|    0.00115|    0.00003|    0.00003|4714| 78| 0.21| 0.05|    1.67|    0.23|    0.12|   11.32|    0.56|    0.29|    2.554|    0.016|    0.015|    0.00115|    0.00003|    0.00003|292.867950|+49.458832
11560939|  1|  0|J19311997+4934050|81.694|14.307| 5188|  100| 5013|   93|12.55| 0.26|162.70| 6.01|PUBLIC                                       |4849| 84| 0.00| 0.05|    1.40|    0.19|    0.17|    5.44|    0.27|    0.26|    3.112|    0.017|    0.017|    0.00868|    0.00025|    0.00025|4834| 84| 0.00| 0.05|    1.39|    0.18|    0.17|    5.43|    0.26|    0.26|    3.111|    0.016|    0.017|    0.00867|    0.00026|    0.00024|292.833220|+49.568062
11561379|  1|  0|J19321643+4931452|81.725|14.152| 5163|   90| 4942|   82| 8.52| 0.16| 89.66| 1.78|PUBLIC                                       |4714| 95|-0.29| 0.07|    1.10|    0.10|    0.10|    6.49|    0.24|    0.24|    2.853|    0.010|    0.010|    0.00401|    0.00011|    0.00011|4735| 95|-0.34| 0.07|    1.10|    0.10|    0.10|    6.51|    0.24|    0.24|    2.854|    0.010|    0.011|    0.00401|    0.00011|    0.00011|293.068480|+49.529240
11560465|  1|  0|J19302080+4934042|81.624|14.452| 4878|   78| 4665|   71| 6.05| 0.14| 58.85| 1.47|PUBLIC                                       |4464| 89|-0.12| 0.06|    1.09|    0.13|    0.12|    8.12|    0.40|    0.35|    2.658|    0.012|    0.013|    0.00204|    0.00007|    0.00007|4551| 89|-0.10| 0.06|    1.13|    0.13|    0.12|    8.23|    0.39|    0.35|    2.661|    0.012|    0.012|    0.00203|    0.00007|    0.00007|292.586670|+49.567841
11456449|  1|  0|J19300850+4921276|81.413|14.393| 5227|  117| 4974|  107| 9.33| 0.17|113.39| 2.17|KASC,PUBLIC                                  |4776| 83| 0.02| 0.05|    1.56|    0.14|    0.14|    6.87|    0.26|    0.25|    2.956|    0.010|    0.010|    0.00480|    0.00012|    0.00013|4780| 83| 0.03| 0.05|    1.56|    0.14|    0.14|    6.88|    0.26|    0.25|    2.956|    0.010|    0.010|    0.00479|    0.00013|    0.00012|292.535430|+49.357670
11508970|  1|  0|J19305136+4929598|81.596|14.348| 5119|   88| 4883|   81| 3.93| 0.11| 34.47| 1.51|PUBLIC                                       |4776| 89|-0.14| 0.06|    1.38|    0.28|    0.27|   11.79|    0.91|    0.93|    2.437|    0.021|    0.023|    0.00085|    0.00004|    0.00004|4780| 89|-0.16| 0.06|    1.39|    0.27|    0.27|   11.79|    0.88|    0.92|    2.437|    0.020|    0.022|    0.00085|    0.00004|    0.00004|292.713990|+49.499962
11612200|  1|  0|J19303172+4937182|81.687|14.448| 5204|   89| 4984|   82| 4.12| 0.17| 31.27| 0.99|PUBLIC                                       |4799| 96|-0.30| 0.07|    0.96|    0.08|    0.09|   10.17|    0.47|    0.43|    2.402|    0.012|    0.013|    0.00090|    0.00005|    0.00005|4797| 96|-0.35| 0.07|    0.95|    0.09|    0.10|   10.14|    0.48|    0.43|    2.402|    0.013|    0.013|    0.00091|    0.00004|    0.00005|292.632200|+49.621731
11559818|  1|  0|J19285736+4934596|81.540|14.663| 4801|  116| 4620|  108| 3.69| 0.07| 39.67| 1.88|PUBLIC                                       |4407| 69| 0.38| 0.04|        |        |        |        |        |        |         |         |         |           |           |           |4509| 69| 0.52| 0.04|    2.33|    0.36|    0.33|   14.55|    0.81|    0.76|    2.476|    0.019|    0.021|    0.00075|    0.00002|    0.00002|292.239010|+49.583241
11403437|  1|  0|J19283303+4913232|81.173|14.571| 4977|   88| 4763|   81| 4.13| 0.08| 34.15| 0.69|KASC,PUBLIC                                  |4602| 85|-0.04| 0.06|    1.05|    0.10|    0.10|   10.40|    0.41|    0.39|    2.426|    0.010|    0.010|    0.00093|    0.00003|    0.00003|4652| 85|-0.02| 0.06|    1.07|    0.11|    0.10|   10.44|    0.42|    0.39|    2.428|    0.010|    0.010|    0.00093|    0.00003|    0.00003|292.137660|+49.223110
11351140|  1|  0|J19285530+4911281|81.170|14.503| 5171|  120| 4945|  110| 4.07| 0.11| 32.80| 1.08|PUBLIC                                       |4666| 97|-0.32| 0.07|    1.00|    0.14|    0.12|   10.34|    0.53|    0.46|    2.411|    0.015|    0.014|    0.00091|    0.00003|    0.00003|4699| 97|-0.37| 0.07|    1.02|    0.14|    0.12|   10.39|    0.52|    0.49|    2.413|    0.015|    0.014|    0.00091|    0.00003|    0.00003|292.230440|+49.191158
11350954|  1|  0|J19283246+4909237|81.110|14.545| 4993|   90| 4750|   82| 2.44| 0.05| 20.96| 0.60|KASC,LUMINOUS_RGB                            |4522| 92|-0.22| 0.06|    1.94|    0.21|    0.22|   18.07|    0.83|    0.84|    2.211|    0.013|    0.014|    0.00033|    0.00001|    0.00001|4594| 92|-0.23| 0.06|    1.99|    0.22|    0.23|   18.25|    0.78|    0.84|    2.214|    0.013|    0.015|    0.00033|    0.00001|    0.00001|292.135250|+49.156590
11455925|  1|  0|J19285991+4921302|81.332|14.562| 4955|  112| 4750|  103| 4.06| 0.13| 30.54| 0.74|PUBLIC                                       |4631| 93|-0.23| 0.06|    0.88|    0.08|    0.04|   10.06|    0.35|    0.24|    2.384|    0.010|    0.010|    0.00088|    0.00003|    0.00003|4674| 93|-0.25| 0.06|    0.88|    0.10|    0.04|   10.06|    0.38|    0.24|    2.385|    0.011|    0.010|    0.00088|    0.00003|    0.00003|292.249660|+49.358410
11403918|  1|  0|J19293234+4916370|81.294|14.448| 4724|   95| 4532|   88| 6.94| 0.14| 72.56| 1.75|PUBLIC                                       |4484| 77| 0.18| 0.05|    1.19|    0.13|    0.11|    7.63|    0.31|    0.30|    2.748|    0.011|    0.013|    0.00267|    0.00008|    0.00008|4566| 77| 0.26| 0.05|    1.24|    0.13|    0.12|    7.76|    0.32|    0.30|    2.751|    0.012|    0.011|    0.00265|    0.00008|    0.00008|292.384770|+49.276958
11559645|  1|  0|J19283631+4935299|81.523|14.718| 4927|   95| 4709|   87| 3.08| 0.06| 26.17| 0.94|PUBLIC                                       |4578| 94|-0.25| 0.06|    1.49|    0.21|    0.20|   14.20|    0.71|    0.71|    2.308|    0.017|    0.018|    0.00052|    0.00002|    0.00002|4635| 94|-0.27| 0.06|    1.53|    0.23|    0.19|   14.30|    0.73|    0.70|    2.311|    0.017|    0.017|    0.00052|    0.00002|    0.00001|292.151310|+49.591660
11661782|  1|  0|J19272867+4944453|81.590|14.948| 5092|   84| 4923|   78| 5.76| 0.12| 60.55| 1.30|PUBLIC                                       |4739| 96|-0.30| 0.07|    1.62|    0.18|    0.15|    9.60|    0.42|    0.38|    2.683|    0.011|    0.011|    0.00183|    0.00007|    0.00007|4753| 96|-0.35| 0.07|    1.63|    0.18|    0.16|    9.61|    0.42|    0.38|    2.684|    0.011|    0.011|    0.00183|    0.00007|    0.00007|291.869450|+49.745918
11559478|  1|  0|J19281694+4932002|81.446|14.741| 5199|  113| 4991|  104| 4.04| 0.08| 36.26| 1.13|PUBLIC                                       |4869| 96|-0.31| 0.07|    1.48|    0.19|    0.18|   11.82|    0.57|    0.55|    2.462|    0.015|    0.015|    0.00090|    0.00003|    0.00003|4849| 96|-0.38| 0.07|    1.48|    0.19|    0.17|   11.80|    0.56|    0.53|    2.462|    0.015|    0.015|    0.00090|    0.00003|    0.00003|292.070620|+49.533409
11455176|  1|  0|J19272681+4922266|81.237|14.798| 5008|   86| 4831|   80| 4.22| 0.08| 36.35| 1.29|KASC,PUBLIC                                  |4790| 93|-0.22| 0.06|    1.23|    0.15|    0.15|   10.81|    0.48|    0.51|    2.461|    0.016|    0.017|    0.00098|    0.00003|    0.00003|4791| 93|-0.27| 0.06|    1.24|    0.15|    0.15|   10.82|    0.46|    0.50|    2.461|    0.016|    0.016|    0.00098|    0.00003|    0.00003|291.861720|+49.374062
11403129|  1|  0|J19275762+4912059|81.112|14.650| 4998|   76| 4740|   69| 4.15| 0.08| 42.73| 1.46|PUBLIC                                       |4621| 72| 0.31| 0.04|    2.00|    0.25|    0.25|   12.83|    0.60|    0.61|    2.522|    0.015|    0.016|    0.00095|    0.00003|    0.00003|4666| 72| 0.40| 0.04|    2.04|    0.26|    0.25|   12.95|    0.66|    0.62|    2.525|    0.017|    0.016|    0.00094|    0.00003|    0.00003|291.990080|+49.201641
11453905|  1|  0|J19243126+4921161|81.016|15.224| 4445|  165| 4295|  155| 2.29| 0.05| 17.14| 0.72|PUBLIC                                       |4391| 93|-0.23| 0.06|    1.27|    0.21|    0.19|   16.36|    0.94|    0.92|    2.113|    0.020|    0.020|    0.00029|    0.00001|    0.00001|4497| 93|-0.22| 0.06|    1.33|    0.23|    0.19|   16.62|    1.04|    0.91|    2.119|    0.020|    0.019|    0.00029|    0.00001|    0.00001|291.130250|+49.354488
11401466|  1|  0|J19242375+4913221|80.882|15.188| 5087|  107| 4842|   97| 4.12| 0.10| 35.83| 0.84|PUBLIC                                       |4744| 89|-0.13| 0.06|    1.28|    0.14|    0.13|   11.10|    0.53|    0.48|    2.453|    0.011|    0.011|    0.00093|    0.00003|    0.00003|4757| 89|-0.15| 0.06|    1.28|    0.15|    0.13|   11.11|    0.52|    0.48|    2.453|    0.011|    0.011|    0.00093|    0.00003|    0.00003|291.098970|+49.222820
11506212|  1|  0|J19250956+4928422|81.177|15.180| 4718|   75| 4521|   69| 4.25| 0.09| 37.93| 0.92|PUBLIC                                       |4417| 80| 0.10| 0.05|    1.20|    0.13|    0.13|   10.64|    0.47|    0.48|    2.464|    0.012|    0.012|    0.00100|    0.00003|    0.00003|4516| 80| 0.17| 0.05|    1.25|    0.14|    0.14|   10.81|    0.48|    0.50|    2.467|    0.012|    0.012|    0.00099|    0.00003|    0.00003|291.289860|+49.478409
11453627|  1|  0|J19235447+4922456|80.997|15.325| 4817|   91| 4612|   84| 3.96| 0.11| 31.10| 0.80|PUBLIC                                       |4538| 86|-0.06| 0.06|    0.94|    0.11|    0.06|   10.37|    0.44|    0.29|    2.385|    0.011|    0.010|    0.00085|    0.00003|    0.00003|4606| 86|-0.04| 0.06|    0.98|    0.09|    0.07|   10.46|    0.42|    0.30|    2.389|    0.011|    0.010|    0.00085|    0.00003|    0.00003|290.976990|+49.379360
11349490|  1|  0|J19252793+4909210|80.893|15.002| 5086|   86| 4845|   78|11.02| 0.21|131.47| 2.54|PUBLIC                                       |4709| 87|-0.07| 0.06|    1.23|    0.11|    0.10|    5.67|    0.20|    0.20|    3.019|    0.009|    0.010|    0.00671|    0.00019|    0.00018|4731| 87|-0.07| 0.06|    1.23|    0.11|    0.10|    5.68|    0.21|    0.20|    3.019|    0.010|    0.010|    0.00671|    0.00019|    0.00018|291.366390|+49.155849
11349014|  1|  0|J19242403+4911273|80.853|15.175| 5182|  116| 4942|  106| 3.86| 0.16| 30.42| 1.41|PUBLIC                                       |4725|106|-0.55| 0.07|    1.01|    0.19|    0.15|   10.70|    0.82|    0.65|    2.381|    0.020|    0.019|    0.00082|    0.00005|    0.00005|4743|106|-0.64| 0.07|    1.00|    0.20|    0.15|   10.64|    0.84|    0.66|    2.381|    0.020|    0.020|    0.00082|    0.00004|    0.00005|291.100160|+49.190929
11295851|  1|  0|J19245919+4904405|80.786|15.041| 5212|  101| 5047|   95| 7.54| 0.15| 93.88| 2.02|PUBLIC                                       |5004| 84|-0.01| 0.06|    2.30|    0.17|    0.28|    9.05|    0.28|    0.44|    2.884|    0.010|    0.012|    0.00310|    0.00009|    0.00009|4948| 84|-0.03| 0.06|    2.18|    0.22|    0.22|    8.90|    0.34|    0.38|    2.880|    0.011|    0.012|    0.00312|    0.00010|    0.00009|291.246670|+49.077930
11295350|  1|  0|J19235767+4902582|80.688|15.183| 5044|  105| 4800|   95| 3.19| 0.11| 25.28| 0.71|PUBLIC                                       |4602| 91|-0.17| 0.06|    1.19|    0.18|    0.16|   12.85|    0.81|    0.75|    2.295|    0.013|    0.014|    0.00056|    0.00003|    0.00003|4653| 91|-0.18| 0.06|    1.21|    0.19|    0.16|   12.93|    0.83|    0.78|    2.297|    0.013|    0.013|    0.00056|    0.00003|    0.00003|290.990300|+49.049511
11295720|  1|  0|J19244408+4905045|80.775|15.081| 4870|   91| 4634|   83| 5.36| 0.11| 53.25| 1.40|PUBLIC                                       |4583| 86|-0.06| 0.06|    1.38|    0.15|    0.14|    9.54|    0.40|    0.39|    2.618|    0.012|    0.013|    0.00159|    0.00005|    0.00005|4639| 86|-0.04| 0.06|    1.41|    0.16|    0.14|    9.62|    0.41|    0.40|    2.620|    0.012|    0.013|    0.00158|    0.00005|    0.00005|291.183690|+49.084599
 9517003|  1|  1|J19085922+4608044|76.872|16.354| 4654|   68| 4419|   62| 1.35| 0.04|  8.14| 0.57|GOLD,KASC,PUBLIC,LUMINOUS_RGB                |4238|102|-0.47| 0.07|    0.95|    0.27|    0.13|   21.12|    1.91|    0.94|    1.768|    0.031|    0.020|    0.00010|    0.00000|    0.00000|4385|102|-0.48| 0.07|    1.08|    0.29|    0.21|   22.08|    2.01|    1.51|    1.785|    0.031|    0.027|    0.00010|    0.00000|    0.00000|287.246800|+46.134571
 9760904|  1|  0|J19075361+4634592|77.230|16.698| 5131|   93| 4943|   86| 3.81| 0.19| 30.57| 1.05|GO,RC,PUBLIC                                 |4707| 98|-0.34| 0.07|    1.08|    0.21|    0.17|   11.07|    0.91|    0.79|    2.383|    0.016|    0.015|    0.00080|    0.00005|    0.00006|4730| 98|-0.40| 0.07|    1.09|    0.21|    0.18|   11.08|    0.92|    0.79|    2.384|    0.015|    0.016|    0.00080|    0.00005|    0.00006|286.973360|+46.583111
 9700899|  1|  0|J19091633+4626079|77.181|16.423| 4956|   75| 4784|   70| 3.91| 0.10| 33.86| 1.23|GO,RC,PUBLIC                                 |4537| 84|-0.01| 0.05|    1.23|    0.19|    0.17|   11.32|    0.67|    0.62|    2.417|    0.016|    0.017|    0.00084|    0.00003|    0.00003|4605| 84| 0.03| 0.05|    1.26|    0.21|    0.18|   11.44|    0.73|    0.63|    2.421|    0.017|    0.017|    0.00084|    0.00003|    0.00003|287.318050|+46.435532
 9821622|  1|  0|J19083615+4641212|77.381|16.625| 5099|   84| 4879|   77| 5.91| 0.19| 63.72| 1.49|PUBLIC                                       |4720| 98|-0.35| 0.07|    1.65|    0.25|    0.21|    9.45|    0.59|    0.54|    2.705|    0.011|    0.012|    0.00196|    0.00012|    0.00011|4739| 98|-0.40| 0.07|    1.67|    0.25|    0.22|    9.48|    0.59|    0.55|    2.706|    0.011|    0.012|    0.00196|    0.00012|    0.00012|287.150670|+46.689220
 9761625|  1|  1|J19093801+4635253|77.355|16.424| 4619|   66| 4421|   61| 1.40| 0.04|  9.27| 0.23|GOLD,KASC,PUBLIC                             |4307| 92|-0.22| 0.06|    1.44|    0.18|    0.16|   23.71|    1.17|    1.11|    1.846|    0.012|    0.012|    0.00011|    0.00000|    0.00000|4435| 92|-0.20| 0.06|    1.49|    0.19|    0.16|   24.02|    1.23|    1.15|    1.850|    0.012|    0.012|    0.00011|    0.00000|    0.00000|287.408390|+46.590370
 9821783|  1|  0|J19085773+4638246|77.358|16.550| 5080|   80| 4878|   73| 4.13| 0.09| 35.00| 1.02|PUBLIC                                       |4862| 92|-0.21| 0.06|    1.21|    0.15|    0.15|   10.88|    0.55|    0.54|    2.446|    0.013|    0.015|    0.00094|    0.00003|    0.00003|4843| 92|-0.25| 0.06|    1.21|    0.15|    0.13|   10.89|    0.53|    0.49|    2.446|    0.013|    0.014|    0.00094|    0.00003|    0.00003|287.240540|+46.640179
 9881628|  1|  0|J19092376+4643366|77.471|16.514| 4888|   75| 4726|   70| 3.90| 0.09| 28.16| 0.98|GO,ROTATOR,PUBLIC                            |4724| 99|-0.39| 0.07|    0.86|    0.08|    0.05|   10.21|    0.32|    0.26|    2.361|    0.011|    0.010|    0.00082|    0.00003|    0.00003|4742| 99|-0.46| 0.07|    0.86|    0.08|    0.05|   10.19|    0.33|    0.26|    2.360|    0.012|    0.010|    0.00082|    0.00003|    0.00003|287.349030|+46.726849
 9456153|  1|  0|J19105629+4602116|76.912|16.004| 5222|  102| 4994|   94| 4.14| 0.10| 33.52| 0.71|PUBLIC                                       |4820| 96|-0.30| 0.07|    1.05|    0.11|    0.09|   10.39|    0.45|    0.41|    2.427|    0.010|    0.010|    0.00094|    0.00003|    0.00003|4812| 96|-0.36| 0.07|    1.05|    0.11|    0.09|   10.39|    0.43|    0.40|    2.427|    0.010|    0.010|    0.00094|    0.00003|    0.00003|287.734560|+46.036572
 9517542|  1|  1|J19101380+4610279|76.996|16.170| 4678|   85| 4496|   79| 2.70| 0.06| 20.43| 0.61|GOLD,KASC,PUBLIC,LUMINOUS_RGB                |4415| 88|-0.10| 0.06|    1.15|    0.15|    0.13|   14.19|    0.71|    0.64|    2.194|    0.014|    0.014|    0.00040|    0.00001|    0.00001|4515| 88|-0.08| 0.06|    1.18|    0.15|    0.13|   14.35|    0.68|    0.64|    2.197|    0.014|    0.014|    0.00040|    0.00001|    0.00001|287.557500|+46.174419
 9517698|  1|  0|J19103540+4606527|76.963|16.090| 5006|  100| 4855|   94| 4.55| 0.11| 42.22| 0.94|GO,RC,PUBLIC                                 |4676| 82| 0.03| 0.05|    1.43|    0.11|    0.18|   10.87|    0.28|    0.61|    2.522|    0.011|    0.012|    0.00113|    0.00004|    0.00003|4707| 82| 0.06| 0.05|    1.45|    0.10|    0.17|   10.91|    0.27|    0.57|    2.523|    0.010|    0.012|    0.00112|    0.00004|    0.00003|287.647520|+46.114639
 9579328|  1|  0|J19104886+4616309|77.133|16.116| 4697|   71| 4543|   67| 3.79| 0.08| 33.45| 0.72|RC,PUBLIC                                    |4440| 66| 0.45| 0.04|        |        |        |        |        |        |         |         |         |           |           |           |4534| 66| 0.60| 0.04|        |        |        |        |        |        |         |         |         |           |           |           |287.703610|+46.275261
 9882766|  1|  0|J19115546+4645532|77.680|16.128| 5125|   80| 4942|   75|12.97| 0.24|167.64| 3.94|PUBLIC                                       |4896| 87|-0.08| 0.06|    1.39|    0.14|    0.13|    5.32|    0.21|    0.21|    3.130|    0.011|    0.011|    0.00926|    0.00025|    0.00025|4868| 87|-0.11| 0.06|    1.38|    0.14|    0.13|    5.30|    0.21|    0.20|    3.129|    0.011|    0.012|    0.00928|    0.00026|    0.00025|287.981110|+46.764801
 9882550|  1|  1|J19113099+4644580|77.637|16.187| 4988|   76| 4785|   70| 4.30| 0.09| 36.74| 0.90|GOLD,KASC,PUBLIC                             |4758| 87|-0.08| 0.06|    1.17|    0.14|    0.14|   10.50|    0.48|    0.51|    2.464|    0.012|    0.012|    0.00101|    0.00003|    0.00003|4767| 87|-0.09| 0.06|    1.17|    0.13|    0.14|   10.51|    0.47|    0.52|    2.464|    0.012|    0.012|    0.00101|    0.00003|    0.00003|287.879120|+46.749470
 9883123|  1|  0|J19124796+4643255|77.701|15.974| 5131|   86| 4901|   79| 8.21| 0.15| 93.44| 2.36|GO,SEIS_INTEREST,PUBLIC                      |4784| 88|-0.09| 0.06|    1.45|    0.15|    0.14|    7.31|    0.29|    0.28|    2.871|    0.012|    0.012|    0.00370|    0.00010|    0.00009|4787| 88|-0.11| 0.06|    1.45|    0.16|    0.14|    7.31|    0.31|    0.27|    2.871|    0.012|    0.012|    0.00371|    0.00010|    0.00010|288.199860|+46.723759
 9702057|  1|  0|J19120015+4628165|77.403|16.002| 4834|   85| 4651|   79| 3.55| 0.08| 27.77| 0.90|PUBLIC                                       |4457| 80| 0.09| 0.05|    1.00|    0.12|    0.07|   11.31|    0.51|    0.33|    2.332|    0.013|    0.011|    0.00069|    0.00002|    0.00002|4546| 80| 0.16| 0.05|    1.02|    0.13|    0.08|   11.40|    0.53|    0.34|    2.335|    0.013|    0.011|    0.00069|    0.00002|    0.00002|288.000640|+46.471260
 9883214|  1|  0|J19125992+4642195|77.697|15.935| 4943|   81| 4726|   74| 3.77| 0.11| 28.64| 1.53|PUBLIC                                       |4558| 93|-0.24| 0.06|    0.91|    0.13|    0.06|   10.56|    0.52|    0.29|    2.353|    0.017|    0.014|    0.00077|    0.00003|    0.00003|4620| 93|-0.26| 0.06|    0.92|    0.15|    0.06|   10.63|    0.59|    0.33|    2.356|    0.018|    0.015|    0.00077|    0.00003|    0.00003|288.249660|+46.705441
 9762752|  1|  0|J19121711+4634184|77.519|15.996| 4718|   76| 4525|   70| 3.84| 0.09| 36.08| 1.55|PUBLIC                                       |4376| 74| 0.24| 0.05|    1.40|    0.22|    0.20|   11.98|    0.67|    0.66|    2.428|    0.019|    0.020|    0.00082|    0.00003|    0.00003|4487| 74| 0.35| 0.05|    1.56|    0.27|    0.25|   12.44|    0.78|    0.77|    2.441|    0.020|    0.021|    0.00081|    0.00003|    0.00003|288.071320|+46.571781
 9641246|  1|  0|J19123382+4622130|77.346|15.874| 4840|   81| 4621|   74| 4.20| 0.09| 36.80| 0.81|RC,PUBLIC                                    |4632| 85|-0.03| 0.06|    1.24|    0.12|    0.11|   10.87|    0.42|    0.43|    2.460|    0.010|    0.011|    0.00097|    0.00003|    0.00003|4674| 85|-0.02| 0.06|    1.26|    0.12|    0.11|   10.91|    0.44|    0.43|    2.461|    0.010|    0.011|    0.00097|    0.00003|    0.00003|288.140930|+46.370300
 9579860|  1|  1|J19120396+4612249|77.154|15.890| 4760|   85| 4595|   79| 5.91| 0.12| 54.82| 1.06|GOLD,KASC,PUBLIC                             |4534| 94|-0.25| 0.06|    1.03|    0.10|    0.09|    8.09|    0.33|    0.29|    2.632|    0.010|    0.009|    0.00193|    0.00006|    0.00006|4603| 94|-0.26| 0.06|    1.05|    0.10|    0.09|    8.15|    0.32|    0.29|    2.634|    0.010|    0.009|    0.00193|    0.00006|    0.00006|288.016510|+46.206921
 9640886|  1|  1|J19114487+4623538|77.316|16.015| 4490|   75| 4347|   70| 3.95| 0.08| 34.79| 0.78|GOLD,KASC,PUBLIC                             |4378| 78| 0.15| 0.05|    1.23|    0.12|    0.12|   11.27|    0.43|    0.44|    2.425|    0.011|    0.011|    0.00086|    0.00003|    0.00003|4488| 78| 0.23| 0.05|    1.27|    0.13|    0.12|   11.41|    0.45|    0.44|    2.428|    0.010|    0.011|    0.00086|    0.00003|    0.00003|287.936980|+46.398289
