KIC|P13|G|2MASS|GLAT|GLON|Teffc|e_Teffc|Teff|e_Teff|Dnu|e_Dnu|numax|e_numax|Notes|Teff1|e_Teff1|[M/H]1|e_[M/H]1|M1|E_M1|e_M1|R1|E_R1|e_R1|log.g1|E_log.g1|e_log.g1|rho1|E_rho1|e_rho1|Teff2|e_Teff2|[M/H]2|e_[M/H]2|M2|E_M2|e_M2|R2|E_R2|e_R2|log.g2|E_log.g2|e_log.g2|rho2|E_rho2|e_rho2|_RA|_DE
#  | | | |deg|deg|K|K|K|K|uHz|uHz|uHz|uHz| |K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|deg|deg
# --------|---|---|-----------------|------|------|-----|-----|-----|-----|-----|-----|------|-----|---------------------------------------------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----------|----------
 9662343|  1|  0|J19471502+4619464|79.973|10.465| 5093|   92| 4824|   83| 4.87| 0.22| 43.70| 1.16|RC,PUBLIC                                    |4749| 90|-0.15| 0.06|    1.20|    0.34|    0.24|    9.77|    1.21|    0.85|    2.539|    0.013|    0.013|    0.00129|    0.00010|    0.00011|4761| 90|-0.17| 0.06|    1.20|    0.34|    0.24|    9.77|    1.18|    0.84|    2.539|    0.013|    0.013|    0.00129|    0.00010|    0.00011|296.812590|+46.329559
 9540226|  1|  0|J19480815+4611544|79.931|10.268| 4760|   74| 4508|   66| 3.15| 0.08| 26.88| 0.91|KASC,PUBLIC                                  |4509| 92|-0.20| 0.06|    1.43|    0.21|    0.19|   13.78|    0.75|    0.72|    2.316|    0.016|    0.017|    0.00055|    0.00002|    0.00002|4584| 92|-0.20| 0.06|    1.49|    0.21|    0.20|   13.96|    0.74|    0.73|    2.320|    0.016|    0.016|    0.00055|    0.00002|    0.00002|297.034000|+46.198471
 9479404|  1|  0|J19482142+4602084|79.805|10.156| 5213|  101| 5021|   94| 6.96| 0.13| 84.76| 2.02|PUBLIC                                       |4868| 77| 0.18| 0.05|    2.23|    0.15|    0.25|    9.44|    0.26|    0.42|    2.834|    0.011|    0.012|    0.00265|    0.00007|    0.00007|4848| 77| 0.22| 0.05|    2.22|    0.15|    0.25|    9.43|    0.25|    0.43|    2.833|    0.011|    0.012|    0.00265|    0.00007|    0.00007|297.089290|+46.035671
 9782817|  1|  0|J19461100+4635060|80.113|10.749| 4873|   78| 4674|   72| 5.47| 0.12| 51.89| 2.17|SEIS_OUTLIER,PUBLIC                          |4609| 95|-0.29| 0.07|    1.13|    0.19|    0.17|    8.81|    0.53|    0.50|    2.602|    0.019|    0.021|    0.00165|    0.00005|    0.00005|4657| 95|-0.32| 0.07|    1.16|    0.19|    0.18|    8.89|    0.50|    0.50|    2.605|    0.019|    0.021|    0.00165|    0.00005|    0.00005|296.545870|+46.585018
 9783226|  1|  0|J19464551+4635020|80.159|10.661| 4783|   85| 4660|   81| 5.30| 0.10| 53.60| 1.37|PUBLIC                                       |4543| 83| 0.01| 0.05|    1.45|    0.15|    0.14|    9.78|    0.39|    0.37|    2.619|    0.012|    0.013|    0.00155|    0.00004|    0.00004|4609| 83| 0.05| 0.05|    1.49|    0.17|    0.16|    9.87|    0.43|    0.41|    2.622|    0.013|    0.013|    0.00155|    0.00004|    0.00004|296.689640|+46.583900
 9843358|  1|  0|J19462232+4636483|80.154|10.734| 4853|   81| 4677|   76| 4.04| 0.10| 31.67| 0.90|PUBLIC                                       |4594| 89|-0.14| 0.06|    0.94|    0.11|    0.05|   10.22|    0.43|    0.30|    2.397|    0.012|    0.011|    0.00089|    0.00003|    0.00003|4646| 89|-0.14| 0.06|    0.97|    0.09|    0.06|   10.28|    0.40|    0.30|    2.399|    0.011|    0.011|    0.00089|    0.00003|    0.00003|296.593020|+46.613441
 9662395|  1|  0|J19471924+4622032|80.013|10.473| 4887|   83| 4648|   75| 4.42| 0.10| 48.77| 1.04|PUBLIC                                       |4580| 80| 0.10| 0.05|    2.25|    0.19|    0.22|   12.74|    0.44|    0.51|    2.580|    0.010|    0.010|    0.00109|    0.00004|    0.00004|4636| 80| 0.16| 0.05|    2.31|    0.22|    0.21|   12.88|    0.48|    0.50|    2.582|    0.010|    0.010|    0.00108|    0.00003|    0.00004|296.830170|+46.367569
 9724324|  1|  0|J19482778+4628063|80.199|10.348| 4979|   81| 4720|   73| 4.58| 0.09| 40.65| 0.81|KASC,PUBLIC                                  |4624| 92|-0.21| 0.06|    1.18|    0.12|    0.11|   10.09|    0.41|    0.40|    2.504|    0.010|    0.011|    0.00115|    0.00003|    0.00003|4669| 92|-0.23| 0.06|    1.20|    0.12|    0.11|   10.12|    0.43|    0.40|    2.505|    0.010|    0.011|    0.00115|    0.00004|    0.00004|297.115780|+46.468430
 9724882|  1|  0|J19490667+4629353|80.276|10.263| 5124|   91| 4849|   82| 4.40| 0.12| 36.88| 0.88|RC,PUBLIC                                    |4795| 92|-0.21| 0.06|    1.08|    0.19|    0.13|   10.07|    0.63|    0.52|    2.467|    0.011|    0.011|    0.00105|    0.00005|    0.00004|4794| 92|-0.24| 0.06|    1.08|    0.18|    0.13|   10.07|    0.61|    0.50|    2.467|    0.011|    0.011|    0.00105|    0.00005|    0.00004|297.277800|+46.493149
 9542218|  1|  0|J19502308+4609198|80.084| 9.907| 4698|   71| 4483|   65| 5.75| 0.12| 56.62| 1.14|KASC,PUBLIC                                  |4439| 75| 0.21| 0.05|    1.20|    0.12|    0.11|    8.67|    0.35|    0.31|    2.639|    0.010|    0.010|    0.00183|    0.00005|    0.00005|4533| 75| 0.31| 0.05|    1.24|    0.12|    0.11|    8.80|    0.34|    0.31|    2.642|    0.009|    0.010|    0.00182|    0.00005|    0.00006|297.596190|+46.155499
